iter: 10     # psnr: 18.6112  # ssim: 0.8059  
iter: 20     # psnr: 19.6402  # ssim: 0.8632  
iter: 30     # psnr: 21.6210  # ssim: 0.8743  
iter: 40     # psnr: 22.6251  # ssim: 0.9174  
iter: 50     # psnr: 22.6643  # ssim: 0.9127  
iter: 60     # psnr: 23.2758  # ssim: 0.9209  
iter: 70     # psnr: 23.3282  # ssim: 0.9129  
iter: 80     # psnr: 24.0291  # ssim: 0.9283  
iter: 90     # psnr: 24.0320  # ssim: 0.9282  
iter: 100    # psnr: 23.2355  # ssim: 0.9240  
iter: 110    # psnr: 23.4427  # ssim: 0.9208  
iter: 120    # psnr: 22.5624  # ssim: 0.9194  
iter: 130    # psnr: 24.8051  # ssim: 0.9336  
iter: 140    # psnr: 24.3687  # ssim: 0.9195  
iter: 150    # psnr: 24.5994  # ssim: 0.9306  
iter: 160    # psnr: 23.2614  # ssim: 0.9230  
iter: 170    # psnr: 25.2303  # ssim: 0.9359  
iter: 180    # psnr: 25.4617  # ssim: 0.9414  
iter: 190    # psnr: 25.7797  # ssim: 0.9417  
iter: 200    # psnr: 24.9082  # ssim: 0.9309  
iter: 210    # psnr: 24.0041  # ssim: 0.9295  
iter: 220    # psnr: 25.9268  # ssim: 0.9422  
iter: 230    # psnr: 24.7429  # ssim: 0.9367  
iter: 240    # psnr: 25.4507  # ssim: 0.9334  
iter: 250    # psnr: 26.0285  # ssim: 0.9429  
iter: 260    # psnr: 23.6155  # ssim: 0.9308  
iter: 270    # psnr: 24.8024  # ssim: 0.9388  
iter: 280    # psnr: 25.6888  # ssim: 0.9426  
iter: 290    # psnr: 25.5789  # ssim: 0.9371  
iter: 300    # psnr: 25.7975  # ssim: 0.9430  
iter: 310    # psnr: 24.7119  # ssim: 0.9382  
iter: 320    # psnr: 25.7143  # ssim: 0.9384  
iter: 330    # psnr: 26.0172  # ssim: 0.9438  
iter: 340    # psnr: 24.6480  # ssim: 0.9317  
iter: 350    # psnr: 24.6134  # ssim: 0.9420  
iter: 360    # psnr: 25.5731  # ssim: 0.9417  
iter: 370    # psnr: 25.0196  # ssim: 0.9370  
iter: 380    # psnr: 24.7889  # ssim: 0.9383  
iter: 390    # psnr: 24.8904  # ssim: 0.9320  
iter: 400    # psnr: 25.5404  # ssim: 0.9399  
iter: 410    # psnr: 26.4476  # ssim: 0.9500  
iter: 420    # psnr: 25.3263  # ssim: 0.9378  
iter: 430    # psnr: 25.5481  # ssim: 0.9241  
iter: 440    # psnr: 24.8007  # ssim: 0.9363  
iter: 450    # psnr: 25.3169  # ssim: 0.9411  
iter: 460    # psnr: 26.2242  # ssim: 0.9488  
iter: 470    # psnr: 26.3715  # ssim: 0.9462  
iter: 480    # psnr: 25.4364  # ssim: 0.9379  
iter: 490    # psnr: 24.9032  # ssim: 0.9430  
iter: 500    # psnr: 26.0182  # ssim: 0.9448  
